family,year,quantity,unit,index_to_1950,method,source_title,source_url,locator
Coal Mine,1820,343745619.4113546,t output,5.2131573431210585,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
Coal Mine,1821,348139525.1425583,t output,5.147361533471964,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
Coal Mine,1822,352589595.6842627,t output,5.082396139688427,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
Coal Mine,1823,357096548.95945746,t output,5.018250681004068,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
Coal Mine,1824,361661112.0679355,t output,4.954914808931366,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
Coal Mine,1825,366284021.403595,t output,4.892378305592153,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
Coal Mine,1826,370966022.7732405,t output,4.830631082069183,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
Coal Mine,1827,375707871.51690286,t output,4.769663176778502,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
Coal Mine,1828,380510332.6296972,t output,4.709464753862355,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
Coal Mine,1829,385374180.8852384,t output,4.650026101602392,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
Coal Mine,1830,390300200.9606338,t output,4.591337630852881,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
Coal Mine,1831,395289187.5630744,t output,4.533389873493717,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
Coal Mine,1832,400341945.55804324,t output,4.476173480902935,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
Coal Mine,1833,405459290.09916353,t output,4.41967922244852,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
Coal Mine,1834,410642046.75970596,t output,4.363897983999234,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
Coal Mine,1835,415891051.6657772,t output,4.308820766454255,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
Coal Mine,1836,421207151.63121057,t output,4.254438684291363,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
Coal Mine,1837,426591204.29418164,t output,4.200742964133453,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
Coal Mine,1838,432044078.2555694,t output,4.147724943333139,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
Coal Mine,1839,437566653.21908635,t output,4.095376068575224,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
Coal Mine,1840,443159820.1331996,t output,4.043687894496804,geometric backcast from 1930-1950,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1950
