family,year,quantity,unit,source_title,source_url,locator
Managed Forestry Area,1950,1,ha managed forestry,Managed forestry capacity index anchor,,Flat area-based forestry family: managed forestry area is treated as a direct capacity stock and therefore uses a constant index to 1950.
Coal Mine,1930,1390000000.0,t output,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,"Coal table, 1930 world total = 1,390,000,000 long tons, converted to the published annual world series anchor."
Coal Mine,1931,1240000000.0,t output,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,"Coal table, 1931 world total."
Coal Mine,1932,1110000000.0,t output,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,"Coal table, 1932 world total."
Coal Mine,1935,1310000000.0,t output,Statistical Summary of the Mineral Industry 1935-1937,https://nora.nerc.ac.uk/id/eprint/535283/1/SS_1935_1937.pdf,"Coal table, 1935 world total."
Coal Mine,1936,1420000000.0,t output,Statistical Summary of the Mineral Industry 1935-1937,https://nora.nerc.ac.uk/id/eprint/535283/1/SS_1935_1937.pdf,"Coal table, 1936 world total."
Coal Mine,1937,1510000000.0,t output,Statistical Summary of the Mineral Industry 1935-1937,https://nora.nerc.ac.uk/id/eprint/535283/1/SS_1935_1937.pdf,"Coal table, 1937 world total."
Coal Mine,1945,1324000000.0,t output,Statistical Summary of the Mineral Industry 1945-1951,https://nora.nerc.ac.uk/id/eprint/535285/1/SS_1945_1951.pdf,"Coal table, 1945 world total."
Coal Mine,1946,1445000000.0,t output,Statistical Summary of the Mineral Industry 1945-1951,https://nora.nerc.ac.uk/id/eprint/535285/1/SS_1945_1951.pdf,"Coal table, 1946 world total."
Coal Mine,1947,1622000000.0,t output,Statistical Summary of the Mineral Industry 1945-1951,https://nora.nerc.ac.uk/id/eprint/535285/1/SS_1945_1951.pdf,"Coal table, 1947 world total."
Coal Mine,1950,1792000000.0,t output,Statistical Summary of the Mineral Industry 1950-1955,https://nora.nerc.ac.uk/id/eprint/535280/1/SS_1950_1955.pdf,"Coal table, 1950 world total."
Coal Mine,1951,1900000000.0,t output,Statistical Summary of the Mineral Industry 1950-1955,https://nora.nerc.ac.uk/id/eprint/535280/1/SS_1950_1955.pdf,"Coal table, 1951 world total."
Coal Mine,1952,1900000000.0,t output,Statistical Summary of the Mineral Industry 1950-1955,https://nora.nerc.ac.uk/id/eprint/535280/1/SS_1950_1955.pdf,"Coal table, 1952 world total."
Coal Mine,1953,1926000000.0,t output,Statistical Summary of the Mineral Industry 1950-1955,https://nora.nerc.ac.uk/id/eprint/535280/1/SS_1950_1955.pdf,"Coal table, 1953 world total."
Coal Mine,1954,1941000000.0,t output,Statistical Summary of the Mineral Industry 1950-1955,https://nora.nerc.ac.uk/id/eprint/535280/1/SS_1950_1955.pdf,"Coal table, 1954 world total."
Coal Mine,1955,2102000000.0,t output,Statistical Summary of the Mineral Industry 1950-1955,https://nora.nerc.ac.uk/id/eprint/535280/1/SS_1950_1955.pdf,"Coal table, 1955 world total."
Coal Mine,2019,7748825405.0,t output,World Mining Data 2025,https://www.world-mining-data.info/wmd/downloads/PDF/WMD2025.pdf,"Coal Tot table, 2019 world total."
Coal Mine,2020,7400520408.0,t output,World Mining Data 2025,https://www.world-mining-data.info/wmd/downloads/PDF/WMD2025.pdf,"Coal Tot table, 2020 world total."
Coal Mine,2021,7786779490.0,t output,World Mining Data 2025,https://www.world-mining-data.info/wmd/downloads/PDF/WMD2025.pdf,"Coal Tot table, 2021 world total."
Coal Mine,2022,8493734052.0,t output,World Mining Data 2025,https://www.world-mining-data.info/wmd/downloads/PDF/WMD2025.pdf,"Coal Tot table, 2022 world total."
Coal Mine,2023,8727852902.0,t output,World Mining Data 2025,https://www.world-mining-data.info/wmd/downloads/PDF/WMD2025.pdf,"Coal Tot table, 2023 world total."
Fisheries / Marine,1950,19300000,t output,Review of the state of world marine fishery resources,https://www.fao.org/4/i2389e/i2389e01.pdf,"Global overview, profile of catches: total world fish production was 19.3 million tonnes in 1950; aquaculture was still marginal, so this is used as the capture-economy base anchor."
Fisheries / Marine,1960,31603820.01,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1960."
Fisheries / Marine,1961,35242623.0,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1961."
Fisheries / Marine,1962,38260911.0,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1962."
Fisheries / Marine,1963,38863197.1,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1963."
Fisheries / Marine,1964,42900257.1,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1964."
Fisheries / Marine,1965,43331452.4,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1965."
Fisheries / Marine,1966,47033379.81,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1966."
Fisheries / Marine,1967,50024444.0,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1967."
Fisheries / Marine,1968,52974570.0,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1968."
