family,year,quantity,unit,index_to_1940,method,source_title,source_url,locator
Coal Mine,1820,396513027184865.0,t output,3.625026002319123e-06,geometric backcast from 1930-1940,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1931
Coal Mine,1821,353723851589376.0,t output,4.0635372122770814e-06,geometric backcast from 1930-1940,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1931
Coal Mine,1822,315552212928651.94,t output,4.555094133117051e-06,geometric backcast from 1930-1940,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1931
Coal Mine,1823,281499815850020.44,t output,5.1061135847037915e-06,geometric backcast from 1930-1940,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1931
Coal Mine,1824,251122137880593.8,t output,5.723788615111508e-06,geometric backcast from 1930-1940,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1931
Coal Mine,1825,224022626598515.34,t output,6.416182399197577e-06,geometric backcast from 1930-1940,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1931
Coal Mine,1826,199847523008747.47,t output,7.1923334958747045e-06,geometric backcast from 1930-1940,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1931
Coal Mine,1827,178281243547371.84,t output,8.062373838117612e-06,geometric backcast from 1930-1940,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1931
Coal Mine,1828,159042260430748.97,t output,9.03766099595442e-06,geometric backcast from 1930-1940,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1931
Coal Mine,1829,141879426571315.66,t output,1.013092643901342e-05,geometric backcast from 1930-1940,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1931
Coal Mine,1830,126568697085202.44,t output,1.1356441734055368e-05,geometric backcast from 1930-1940,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1931
Coal Mine,1831,112910204593993.56,t output,1.2730204847045935e-05,geometric backcast from 1930-1940,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1931
Coal Mine,1832,100725650141404.31,t output,1.4270148981769235e-05,geometric backcast from 1930-1940,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1931
Coal Mine,1833,89855975665713.2,t output,1.5996376681176804e-05,geometric backcast from 1930-1940,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1931
Coal Mine,1834,80159287644233.36,t output,1.7931422247448193e-05,geometric backcast from 1930-1940,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1931
Coal Mine,1835,71509004804927.61,t output,2.0100545906413696e-05,geometric backcast from 1930-1940,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1931
Coal Mine,1836,63792205725259.164,t output,2.2532063556383095e-05,geometric backcast from 1930-1940,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,geometric backcast from 1930-1931
